关系中文名称,关系英文名称,反关系中文名称,反关系英文名称,对象1中文名称,对象1英文名称,对象2中文名称,对象2英文名称
包含,Contains,属于,BelongsTo,航天器,Spacecraft,分系统,System
包含,Contains,属于,BelongsTo,分系统,System,单机组件,Component
包含,Contains,属于,BelongsTo,单机组件,Component,元器件,SubComponent
发现,IdentifiedBy,报告,ReportedFor,单机组件,Component,不合格品记录,NCR
涉及,Involves,执行,ExecutedBy,工单,WorkOrder,单机组件,Component
分析,AnalyzedBy,结果,ResultOf,不合格品记录,NCR,影响范围,ImpactRange
产生,Produces,来源,SourceOf,不合格品记录,NCR,风险项,RiskItem
符合,CompliesWith,核查,Checks,单机组件,Component,质量标准,QualityStandard
记录,LoggedIn,审计,AuditsBy,不合格品记录,NCR,变更记录,ChangeLog
撤销,RevokedBy,被撤销,IsRevoked,不合格品记录,NCR,异常处理清单,ResolutionAudit
驱动,Drives,响应,ResponseTo,影响范围,ImpactRange,工单,WorkOrder
由,VerifiedBy,验证,Verifies,不合格品记录,NCR,验证方案,ValidationPlan
执行,PerformedBy,归属,OwnerOf,测试任务,TestTask,验证方案,ValidationPlan
使用,Uses,部署在,DeployedOn,测试任务,TestTask,测试设备,Equipment
属于,BelongsTo,包含,Contains,遥测参数,TelemetryParam,单机组件,Component
约束,Constrains,受限,LimitedBy,遥测参数,TelemetryParam,指标阈值,Threshold
指导,Guides,遵循,Follows,试验大纲,TestOutline,测试任务,TestTask
判定,JudgedBy,依据,BasisOf,不合格品记录,NCR,处置单,DisposalOrder
关联,AssociatedWith,映射,MapsTo,不合格品记录,NCR,故障模式,FailureMode
引用,References,被引用,ReferencedBy,处置单,DisposalOrder,质量标准,QualityStandard
支撑,Supports,结论于,ConcludesAt,证据文件,EvidenceFile,处置单,DisposalOrder
参与,ParticipatesIn,责任人,PICOf,相关人员,Personnel,不合格品记录,NCR
状态维持,StateIn,触发状态,TriggerState,不合格品记录,NCR,工作流状态,WorkflowState
逻辑链接,LinkedBy,子节点,SubNode,不合格品记录,NCR,故障树节点,FTANode
批次关联,BatchOf,产品追溯,Traceability,单机组件,Component,批次,Batch
物料构成,MaterialsOf,物料追溯,MaterialTrace,单机组件,Component,物料,Material
工序节点,NodesOf,工序流转,ProcessFlow,工单,WorkOrder,工艺节点,ProcessNode
