"注：
1. 本体资源创建时，带*红色字段为必填字段；同一对象的多个属性信息前，只需要重复填写“对象英文名称”。
2. 每列名称请勿修改，修改后会导致导入出错。实际使用时，样例数据需删除。",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
对象元数据信息,,,,对象属性信息,,,,,
对象英文名称,对象中文名称,对象描述,状态,属性英文名,属性中文名,属性类型,属性描述,是否主键,是否标题
User,用户,,,id,工号,String,员工工号,是,
User,,,,name,姓名,String,姓名,,是
User,,,,age,年龄,Integer,年龄,,
User,,,,addr,地址,String,地址,,
User,,,,depart_id,部门,String,所属部门ID,,
Project,,,启用,id,项目ID,String,项目ID,是,
Project,,,,name,项目名称,String,项目名称,,是
Project,,,,work_num,参与人数,Integer,参与人数,,
Project,,,,start_date,启用时间,Date,项目启动时间,,
Department,部门,,启用,id,部门ID,String,部门ID,是,
Department,,,,name,部门名称,String,部门名称,,是
